,mean,median,std,min,max,range,volume,atlas,region_id,atlas_priority
"DESIKAN_Inferior Temporal Gyrus, temporooccipital part",0.2994962172405351,0.3052316755056381,0.07476061011321314,0.043069999665021896,0.4224114418029785,0.3793414421379566,11760,desikan,16,4
AAL_AAL_Region_9100,0.277141804929893,0.2937965542078018,0.0551479924165161,0.11789076775312424,0.36085793375968933,0.2429671660065651,424,aal,9100,1
AAL_AAL_Region_7022,0.37989036084285804,0.38232268393039703,0.01645409873747564,0.3183172941207886,0.4217468500137329,0.10342955589294434,2240,aal,7022,1
ASHS_ASHS_Region_93,0.3314112916793151,0.3526085466146469,0.0723184722219233,0.04774865508079529,0.44392678141593933,0.39617812633514404,10536,ashs,93,3
AAL_AAL_Region_9110,0.18955222565451996,0.17534636706113815,0.09637864933430343,0.05186355113983154,0.3835204839706421,0.33165693283081055,1824,aal,9110,1
DESIKAN_Superior Parietal Lobule,0.2864903982148164,0.3066011071205139,0.13453997907154946,0.0,0.6740553975105286,0.6740553975105286,23264,desikan,18,4
ASHS_Misc,0.32312547310116213,0.33365704119205475,0.07023461937421237,0.07957200706005096,0.4463444948196411,0.36677248775959015,7544,ashs,7,3
ASHS_ASHS_Region_24,0.3206959074635863,0.3500463366508484,0.08767040997775453,0.05092749372124672,0.4284934401512146,0.3775659464299679,8632,ashs,24,3
ASHS_ASHS_Region_38,0.29631195496567236,0.3206380754709244,0.09367355234987988,0.018874842673540115,0.4433433413505554,0.4244684986770153,16720,ashs,38,3
AAL_AAL_Region_2702,0.26131788485858515,0.27599845826625824,0.08854885582058045,0.0,0.4560340642929077,0.4560340642929077,5960,aal,2702,1
ASHS_ASHS_Region_34,0.2727177575329764,0.2972710281610489,0.10436059370890852,0.045697055757045746,0.517766535282135,0.47206947952508926,10744,ashs,34,3
ASHS_ASHS_Region_56,0.2850577982442544,0.29610562324523926,0.07487300051594531,0.06096058338880539,0.41827067732810974,0.35731009393930435,10680,ashs,56,3
DESIKAN_Frontal Medial Cortex,0.23994231220338585,0.2470993921160698,0.08091913564357517,0.0,0.4192178249359131,0.4192178249359131,7808,desikan,25,4
AAL_AAL_Region_4022,0.3477219355806931,0.3658165782690048,0.05939485089350164,0.13805845379829407,0.42959901690483093,0.29154056310653687,2680,aal,4022,1
AAL_AAL_Region_9160,0.33535176047776966,0.3342468589544296,0.11532221224211797,0.06805218756198883,0.6158603429794312,0.5478081554174423,1392,aal,9160,1
AAL_AAL_Region_8101,0.24620438755800328,0.2586774677038193,0.09034431342649192,0.04515185207128525,0.389960914850235,0.34480906277894974,1800,aal,8101,1
ASHS_ASHS_Region_80,0.1837307717185609,0.18919523805379868,0.119565279852878,0.0,0.43430888652801514,0.43430888652801514,26328,ashs,80,3
AAL_AAL_Region_5022,0.30247546798428115,0.32022638618946075,0.0778213924350491,0.0,0.42008188366889954,0.42008188366889954,18400,aal,5022,1
AAL_AAL_Region_5401,0.2609708342103497,0.27957166731357574,0.09472258244209938,0.0,0.41587528586387634,0.41587528586387634,18480,aal,5401,1
DESIKAN_Occipital Pole,0.311240219753984,0.3283514529466629,0.0835189174183546,0.0,0.48481693863868713,0.48481693863868713,42208,desikan,48,4
AAL_AAL_Region_4102,0.2535261749479443,0.2629190534353256,0.10946252188109239,0.028347639366984367,0.4253498911857605,0.39700225181877613,7568,aal,4102,1
ASHS_ASHS_Region_70,0.2338862208358258,0.24382638931274414,0.11711117475005772,0.0,0.4274081587791443,0.4274081587791443,14824,ashs,70,3
ASHS_ASHS_Region_97,0.2101056149516941,0.19558417052030563,0.11677464033582881,0.0,0.45962661504745483,0.45962661504745483,17672,ashs,97,3
AAL_AAL_Region_2202,0.2650104313266798,0.2928270697593689,0.1118493454599853,0.0,0.4400438964366913,0.4400438964366913,40832,aal,2202,1
"DESIKAN_Cingulate Gyrus, posterior division",0.25222725531968226,0.2642342895269394,0.0829845946170399,0.03642207384109497,0.4271344840526581,0.3907124102115631,19296,desikan,30,4
AAL_AAL_Region_2601,0.21360749810821075,0.1927172765135765,0.10366970682743923,0.029156053438782692,0.4445870816707611,0.4154310282319784,23936,aal,2601,1
ASHS_ASHS_Region_96,0.26592021914353375,0.2746070772409439,0.08331062849851656,0.04034023731946945,0.4613523483276367,0.42101211100816727,14768,ashs,96,3
DESIKAN_Parietal Opercular Cortex,0.3593210975254176,0.3782958686351776,0.051199949647937115,0.06746262311935425,0.4229600429534912,0.35549741983413696,8952,desikan,43,3
DESIKAN_Insular Cortex,0.2332253318835155,0.2515439987182617,0.0805840320534271,0.028773823752999306,0.3930564224720001,0.3642825987190008,18728,desikan,2,4
"DESIKAN_Lateral Occipital Cortex, inferior division",0.3184595015902126,0.3293270766735077,0.07151015124021401,0.06477533280849457,0.44796401262283325,0.3831886798143387,32712,desikan,23,4
AAL_AAL_Region_9130,0.23264769818056424,0.24524690210819244,0.07623617603107295,0.05369843542575836,0.36866235733032227,0.3149639219045639,2968,aal,9130,1
ASHS_ASHS_Region_44,0.24607176884341228,0.25922125577926636,0.08830822440834021,0.029502874240279198,0.42307379841804504,0.39357092417776585,13560,ashs,44,3
"DESIKAN_Supramarginal Gyrus, posterior division",0.28936508085455825,0.32267341017723083,0.1061014759015438,0.03743383660912514,0.4399983584880829,0.40256452187895775,18072,desikan,20,4
AAL_AAL_Region_9071,0.2787725854905106,0.29109370708465576,0.12131693222678502,0.0,0.6168687343597412,0.6168687343597412,6952,aal,9071,1
AAL_AAL_Region_9052,0.1934145876644214,0.23813625425100327,0.1634581332225066,0.0,0.6447705030441284,0.6447705030441284,4272,aal,9052,1
ASHS_ASHS_Region_61,0.30570754493237473,0.3307056874036789,0.09273630783031307,0.0,0.43565043807029724,0.43565043807029724,5504,ashs,61,3
DESIKAN_Lingual Gyrus,0.2948189792128242,0.3057526797056198,0.07171595040922506,0.03778805211186409,0.42008188366889954,0.38229383155703545,27048,desikan,36,4
ASHS_ASHS_Region_32,0.1896122064845686,0.19197721034288406,0.10584538570771296,0.0,0.41351911425590515,0.41351911425590515,20744,ashs,32,3
"DESIKAN_Middle Temporal Gyrus, posterior division",0.3024157843843914,0.31859154999256134,0.08710316524829032,0.04774865508079529,0.44072040915489197,0.3929717540740967,20200,desikan,12,4
ASHS_ASHS_Region_23,0.25816367838457577,0.29457448422908783,0.12034312647523916,0.0,0.4432225823402405,0.4432225823402405,13664,ashs,23,3
AAL_AAL_Region_9012,0.18836620712347493,0.21301471441984177,0.16375216380548194,0.0,0.6564041376113892,0.6564041376113892,16936,aal,9012,1
DESIKAN_Frontal Orbital Cortex,0.2221386495985702,0.23615936934947968,0.09398424561026353,0.0,0.4375123679637909,0.4375123679637909,25184,desikan,33,4
"DESIKAN_Inferior Frontal Gyrus, pars opercularis",0.2598562623085481,0.2851591408252716,0.10730897314976784,0.03321567177772522,0.4279631972312927,0.3947475254535675,11072,desikan,6,3
ASHS_ASHS_Region_57,0.31379560576261656,0.32891519367694855,0.08187048557892918,0.06581520289182663,0.4500114321708679,0.3841962292790413,11400,ashs,57,3
ASHS_ASHS_Region_59,0.24984239872707972,0.2658684551715851,0.09929058029846707,0.03580775484442711,0.437648206949234,0.4018404521048069,12984,ashs,59,3
AAL_AAL_Region_9081,0.09553980381072809,0.0,0.15873494255370263,0.0,0.4461399018764496,0.4461399018764496,1152,aal,9081,1
"DESIKAN_Inferior Frontal Gyrus, pars triangularis",0.3061005955930134,0.32496337592601776,0.08880941619936666,0.03882782906293869,0.44519680738449097,0.4063689783215523,8824,desikan,5,4
AAL_AAL_Region_7002,0.25573101759957567,0.30268552899360657,0.1019415516647519,0.02182689495384693,0.4041268825531006,0.38229998759925365,7952,aal,7002,1
DESIKAN_Cuneal Cortex,0.2984974617328261,0.30766430497169495,0.0962233813110963,0.05279748886823654,0.5626175403594971,0.5098200514912605,9816,desikan,32,4
ASHS_ASHS_Region_58,0.31308194912001336,0.3291146606206894,0.08748623969990747,0.07045982778072357,0.46022969484329224,0.38976986706256866,11752,ashs,58,3
DESIKAN_Occipital Fusiform Gyrus,0.2936062949352742,0.2976958751678467,0.06760309445693885,0.08005960285663605,0.420074999332428,0.34001539647579193,14448,desikan,40,4
AAL_AAL_Region_9021,0.23570111658944584,0.2516195476055145,0.09180472075481103,0.050028808414936066,0.38251402974128723,0.33248522132635117,1088,aal,9021,1
AAL_AAL_Region_9022,0.19879763732452826,0.195154070854187,0.08702681665510446,0.04346957057714462,0.3903718590736389,0.3469022884964943,1656,aal,9022,1
ASHS_ASHS_Region_49,0.2624621300278483,0.2711901068687439,0.06844566711497133,0.07558385282754898,0.4012060761451721,0.32562222331762314,4440,ashs,49,3
